Time,NAT counts,Tunnels,CPU,%usr,%sys,%idle,Flow_count,Handoffq_ drops,Total,Used,Free,Shared,Buffer,Cached
9:10:17 AM,,4.0,all,40.09,35.38,14.69,,,,,,,,
9:10:17 AM,,4.0,0,41.11,42.22,10,,,,,,,,
9:10:17 AM,,4.0,1,60,20,0,,,,,,,,
9:10:17 AM,,4.0,2,42.05,32.95,17.05,,,,,,,,
9:10:17 AM,,4.0,3,35.87,35.87,20.65,,,,,,,,
9:10:17 AM,,4.0,4,30.49,37.8,24.39,,,,,,,,
9:10:17 AM,,4.0,5,26.92,38.46,23.08,,,,,,,,
9:10:17 AM,,4.0,6,34.12,38.82,15.29,,,,,,,,
9:10:17 AM,,4.0,7,45.35,39.53,10.47,,,,,,,,
9:10:36 AM,,3.0,all,38.78,36.79,13.92,,,,,,,,
9:10:36 AM,,3.0,0,30.23,45.35,11.63,,,,,,,,
9:10:36 AM,,3.0,1,56.44,22.77,0,,,,,,,,
9:10:36 AM,,3.0,2,28.57,42.86,20.24,,,,,,,,
9:10:36 AM,,3.0,3,49.45,29.67,14.29,,,,,,,,
9:10:36 AM,,3.0,4,44.19,31.4,16.28,,,,,,,,
9:10:36 AM,,3.0,5,27.06,38.82,25.88,,,,,,,,
9:10:36 AM,,3.0,6,23.17,50,18.29,,,,,,,,
9:10:36 AM,,3.0,7,46.07,37.08,7.87,,,,,,,,
9:10:45 AM,,1.0,all,37.11,39.24,13.31,,,,,,,,
9:10:45 AM,,1.0,0,27.47,50.55,8.79,,,,,,,,
9:10:45 AM,,1.0,1,53.47,24.75,0,,,,,,,,
9:10:45 AM,,1.0,2,28.05,46.34,18.29,,,,,,,,
9:10:45 AM,,1.0,3,33.72,43.02,17.44,,,,,,,,
9:10:45 AM,,1.0,4,64.65,32.32,2.02,,,,,,,,
9:10:45 AM,,1.0,5,28.24,32.94,30.59,,,,,,,,
9:10:45 AM,,1.0,6,28.05,43.9,19.51,,,,,,,,
9:10:45 AM,,1.0,7,25,43.75,15,,,,,,,,
9:10:55 AM,,4.0,all,36.42,35.56,15.22,,,,,,,,
9:10:55 AM,,4.0,0,50,32.61,9.78,,,,,,,,
9:10:55 AM,,4.0,1,47.52,26.73,0,,,,,,,,
9:10:55 AM,,4.0,2,31.46,34.83,23.6,,,,,,,,
9:10:55 AM,,4.0,3,35.71,33.33,20.24,,,,,,,,
9:10:55 AM,,4.0,4,25.93,38.27,24.69,,,,,,,,
9:10:55 AM,,4.0,5,29.76,36.9,20.24,,,,,,,,
9:10:55 AM,,4.0,6,37.5,40.91,12.5,,,,,,,,
9:10:55 AM,,4.0,7,29.76,42.86,14.29,,,,,,,,
9:11:04 AM,,4.0,all,37.96,39.78,11.2,,,,,,,,
9:11:04 AM,,4.0,0,36.84,43.16,9.47,,,,,,,,
9:11:04 AM,,4.0,1,55,24,0,,,,,,,,
9:11:04 AM,,4.0,2,38.64,40.91,12.5,,,,,,,,
9:11:04 AM,,4.0,3,42.55,39.36,8.51,,,,,,,,
9:11:04 AM,,4.0,4,29.89,44.83,16.09,,,,,,,,
9:11:04 AM,,4.0,5,31.03,45.98,18.39,,,,,,,,
9:11:04 AM,,4.0,6,37.04,34.57,16.05,,,,,,,,
9:11:04 AM,,4.0,7,29.27,47.56,10.98,,,,,,,,
9:11:14 AM,,3.0,,,,,,,,,,,,
9:11:23 AM,,2.0,,,,,,,,,,,,
9:11:32 AM,,3.0,,,,,,,,,,,,
9:11:51 AM,,3.0,,,,,,,,,,,,
9:12:10 AM,,2.0,,,,,,,,,,,,
9:12:19 AM,,3.0,,,,,,,,,,,,
9:12:38 AM,,3.0,,,,,,,,,,,,
9:12:47 AM,,3.0,,,,,,,,,,,,
9:12:57 AM,,3.0,,,,,,,,,,,,
9:13:16 AM,,4.0,,,,,,,,,,,,
9:13:35 AM,,4.0,,,,,,,,,,,,
9:13:45 AM,,2.0,,,,,,,,,,,,
9:13:54 AM,,4.0,,,,,,,,,,,,
9:14:04 AM,,3.0,,,,,,,,,,,,
9:14:13 AM,,4.0,,,,,,,,,,,,
9:14:32 AM,,3.0,,,,,,,,,,,,
9:14:42 AM,,2.0,,,,,,,,,,,,
9:14:51 AM,,3.0,,,,,,,,,,,,
9:15:01 AM,,4.0,,,,,,,,,,,,
9:15:20 AM,,3.0,,,,,,,,,,,,
9:15:30 AM,,5.0,,,,,,,,,,,,
9:15:39 AM,,3.0,,,,,,,,,,,,
9:15:49 AM,,4.0,,,,,,,,,,,,
9:16:08 AM,,4.0,,,,,,,,,,,,
9:16:27 AM,,3.0,,,,,,,,,,,,
9:16:37 AM,,2.0,,,,,,,,,,,,
9:16:56 AM,,4.0,,,,,,,,,,,,
9:17:06 AM,,4.0,,,,,,,,,,,,
9:17:25 AM,,3.0,,,,,,,,,,,,
9:17:35 AM,,3.0,,,,,,,,,,,,
9:17:54 AM,,4.0,,,,,,,,,,,,
9:18:04 AM,,3.0,,,,,,,,,,,,
9:18:14 AM,,3.0,,,,,,,,,,,,
9:18:33 AM,,4.0,,,,,,,,,,,,
9:18:43 AM,,5.0,,,,,,,,,,,,
9:18:53 AM,,3.0,,,,,,,,,,,,
9:10:10 AM,,,all,36.89,38.76,14.27,,45090672.0,,,,,,
9:10:10 AM,,,0,30.59,48.24,14.12,,45090672.0,,,,,,
9:10:10 AM,,,1,52.48,26.73,0,,45090672.0,,,,,,
9:10:10 AM,,,2,41.94,39.78,12.9,,45090672.0,,,,,,
9:10:10 AM,,,3,36.05,41.86,17.44,,45090672.0,,,,,,
9:10:10 AM,,,4,28.75,40,21.25,,45090672.0,,,,,,
9:10:10 AM,,,5,43.37,27.71,18.07,,45090672.0,,,,,,
