Date,Flow_count,Handoffq_drops,,,,,,,,
3:51:05 AM,65507,718801,,,,,,,,
  , ,,,,,,,,,
3:51:05 AM,65507,718801,,,,,,,,
  , ,,,,,,,,,
3:51:06 AM,65507,718801,,,,,,,,
  , ,,,,,,,,,
3:51:06 AM,65507,718801,,,,,,,,
  , ,,,,,,,,,
3:51:06 AM,65507,718801,,,,,,,,
  , ,,,,,,,,,
3:51:06 AM,65507,718801,,,,,,,,
  , ,,,,,,,,,
3:51:06 AM,65507,718801,,,,,,,,
  , ,,,,,,,,,
3:51:06 AM,65507,718801,,,,,,,,
  , ,,,,,,,,,
3:51:07 AM,65507,718801,,,,,,,,
  , ,,,,,,,,,
3:51:07 AM,65507,718801,,,,,,,,
  , ,,,,,,,,,
3:51:08 AM,65509,718801,,,,,,,,
  , ,,,,,,,,,
3:51:08 AM,65509,718801,,,,,,,,
  , ,,,,,,,,,
3:51:08 AM,65510,718801,,,,,,,,
  , ,,,,,,,,,
3:51:08 AM,65510,718801,,,,,,,,
  , ,,,,,,,,,
3:51:09 AM,65510,718801,,,,,,,,
  , ,,,,,,,,,
3:51:09 AM,65510,718801,,,,,,,,
  , ,,,,,,,,,
3:51:10 AM,65510,718801,,,,,,,,
  , ,,,,,,,,,
3:51:10 AM,65510,718801,,,,,,,,
  , ,,,,,,,,,
3:51:11 AM,65510,718801,,,,,,,,
  , ,,,,,,,,,
3:51:11 AM,65510,718801,,,,,,,,
  , ,,,,,,,,,
3:51:11 AM,65510,718801,,,,,,,,
  , ,,,,,,,,,
3:51:11 AM,65510,718801,,,,,,,,
  , ,,,,,,,,,
3:51:11 AM,65510,718801,,,,,,,,
  , ,,,,,,,,,
3:51:12 AM,65545,718801,,,,,,,,
  , ,,,,,,,,,
3:51:12 AM,65600,718801,,,,,,,,
  , ,,,,,,,,,
3:51:13 AM,65650,718801,,,,,,,,
  , ,,,,,,,,,
3:51:13 AM,65656,718801,,,,,,,,
  , ,,,,,,,,,
3:51:13 AM,65656,718801,,,,,,,,
  , ,,,,,,,,,
3:51:13 AM,65699,718801,,,,,,,,
  , ,,,,,,,,,
3:51:14 AM,65743,718801,,,,,,,,
  , ,,,,,,,,,
3:51:14 AM,65775,718801,,,,,,,,
  , ,,,,,,,,,
3:51:14 AM,65775,718801,,,,,,,,
  , ,,,,,,,,,
3:51:14 AM,65775,718801,,,,,,,,
  , ,,,,,,,,,
3:51:15 AM,65775,718801,,,,,,,,
  , ,,,,,,,,,
3:51:15 AM,65775,718801,,,,,,,,
  , ,,,,,,,,,
3:51:15 AM,65775,718801,,,,,,,,
  , ,,,,,,,,,
3:51:15 AM,65775,718801,,,,,,,,
  , ,,,,,,,,,
3:51:16 AM,65775,718801,,,,,,,,
  , ,,,,,,,,,
3:51:16 AM,65775,718801,,,,,,,,
  , ,,,,,,,,,
3:51:17 AM,65776,718801,,,,,,,,
  , ,,,,,,,,,
3:51:18 AM,65777,718801,,,,,,,,
  , ,,,,,,,,,
3:51:18 AM,65777,718801,,,,,,,,
  , ,,,,,,,,,
3:51:18 AM,65777,718801,,,,,,,,
  , ,,,,,,,,,
3:51:18 AM,65777,718801,,,,,,,,
  , ,,,,,,,,,
3:51:18 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:51:19 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:51:19 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:51:19 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:51:20 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:51:20 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
